Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
MZ064425,Acrodontium burrowsianum,"culture from holotype of Acrodontium
                     burrowsianum",Yes,,,South Africa: Northern Province,,P.W. Crous,,,NCBI type_material qualifier,
MF951410,Acrodontium crateriforme,type material of Chloridium crateriforme,Yes,,,Netherlands,,,,,NCBI type_material qualifier,
KX287274,Acrodontium luzulae,"culture from holotype of Acrodontium
                     luzulae",Yes,,,United Kingdom,,,,,NCBI type_material qualifier,
KJ869127,Acrodontium neolitseae,"culture from holotype of Acrodontium
                     neolitseae",Yes,,,Australia: New South Wales,,B.A. Summerell,,,NCBI type_material qualifier,
KX287275,Acrodontium pigmentosum,"culture from holotype of Acrodontium
                     pigmentosum",Yes,,,Finland,,S. Haatainen,,,NCBI type_material qualifier,
OP439740,Acrogenospora stellata,holotype of Acrogenospora stellata,Yes,,AMI-SPL1243,"Portugal: Azores, Terceira",14-Jan-2022,,,,NCBI type_material qualifier,
ON176304,Acrogenospora terricola,holotype of Acrogenospora terricola,Yes,PS3610,MYCO-ARIZ PS3610,Panama: Barro Colorado Island,,"collected by C. Sarmiento and P.-C.
                     Zalamea, in collaboration with J. W. Dalling, A. S. Davis,
                     and A. E. Arnold.",,,NCBI type_material qualifier,
MH606234,Acrogenospora thailandica,holotype of Acrogenospora thailandica,Yes,,MFLU:18-1129,Thailand,27-Apr-2017,Jing Yang,,,NCBI type_material qualifier,
PP626538,Acrohelicosporium abundatum,holotype of Acrohelicosporium abundatum,Yes,,HKAS 128932,China,25-Feb-2023,Jian Ma,,,NCBI type_material qualifier,
PP626539,Acrohelicosporium aquaticum,holotype of Acrohelicosporium aquaticum,Yes,,HKAS 128893,China,25-Feb-2023,Jian Ma,,,NCBI type_material qualifier,
PP626540,Acrohelicosporium guizhouense,holotype of Acrohelicosporium guizhouense,Yes,,HKAS 128861,China,25-Feb-2023,Jian Ma,,,NCBI type_material qualifier,
PP626543,Acrohelicosporium viridisporum,"holotype of Acrohelicosporium
                     viridisporum",Yes,,HKAS 131100,China,25-Feb-2023,Jian Ma,,,NCBI type_material qualifier,
PV647847,Acronigraspora subsphaerica,"culture from holotype of Acronigraspora
                     subsphaerica",Yes,,,China,18-Jul-2022,,,,NCBI type_material qualifier,
PV647850,Acronigraspora zhuomulariensis,"culture from holotype of Acronigraspora
                     zhuomulariensis",Yes,,,China,18-Jul-2022,,,,NCBI type_material qualifier,
KJ026975,Acrophialophora acuticonidiata,"culture from holotype of Acrophialophora
                     acuticonidiata",Yes,,,China,,,,,NCBI type_material qualifier,
KJ026972,Acrophialophora angustiphialis,"culture from holotype of Acrophialophora
                     angustiphialis",Yes,,,China,,,,,NCBI type_material qualifier,
OP454351,Acrophialophora curvata,"culture from holotype of Acrophialophora
                     curvata",Yes,,,,,,,,NCBI type_material qualifier,
KJ026969,Acrophialophora ellipsoidea,holotype of Acrophialophora ellipsoidea,Yes,,,China,,,,,NCBI type_material qualifier,
OP454345,Acrophialophora fujianensis,"culture from holotype of Acrophialophora
                     fujianensis",Yes,,,,,,,,NCBI type_material qualifier,
MH869060,Acrophialophora fusispora,type material of Paecilomyces fusisporus,Yes,,,India,,,,,NCBI type_material qualifier,
MH857523,Acrophialophora fusispora,type material of Paecilomyces fusisporus,Yes,,,India,,,,,NCBI type_material qualifier,
MK926788,Acrophialophora fusispora,type material of Paecilomyces fusisporus,Yes,,,,,,,,NCBI type_material qualifier,
KP233037,Acrophialophora fusispora,type material of Paecilomyces fusisporus,Yes,,,,,,,,NCBI type_material qualifier,
KM995905,Acrophialophora fusispora,type material of Paecilomyces fusisporus,Yes,,,,,,,,NCBI type_material qualifier,
OP454339,Acrophialophora guangdongensis,"culture from holotype of Acrophialophora
                     guangdongensis",Yes,,,,,,,,NCBI type_material qualifier,
MK926789,Acrophialophora hechuanensis,"type material of Taifanglania
                     hechuanensis",Yes,,,,,,,,NCBI type_material qualifier,
DQ185070,Acrophialophora hechuanensis,"type material of Taifanglania
                     hechuanensis",Yes,,,,,,,,NCBI type_material qualifier,
MH859386,Acrophialophora jodhpurensis,"culture from epitype of Chaetomium
                     jodhpurense",Yes,,,Pakistan,,,,,NCBI type_material qualifier,
MK926790,Acrophialophora jodhpurensis,"culture from epitype of Chaetomium
                     jodhpurense",Yes,,,,,,,,NCBI type_material qualifier,
MH871579,Acrophialophora levis,type material of Acrophialophora levis,Yes,,,Germany,,,,,NCBI type_material qualifier,
MH859809,Acrophialophora levis,type material of Acrophialophora levis,Yes,,,Germany,,,,,NCBI type_material qualifier,
KP233038,Acrophialophora levis,type material of Acrophialophora levis,Yes,,,,,,,,NCBI type_material qualifier,
KM995878,Acrophialophora levis,type material of Acrophialophora levis,Yes,,,,,,,,NCBI type_material qualifier,
KP192127,Acrophialophora liboensis,"culture from holotype of Acrophialophora
                     liboensis",Yes,,,China,,Yao Wang,,,NCBI type_material qualifier,
OP454357,Acrophialophora longicatenata,"culture from holotype of Acrophialophora
                     longicatenata",Yes,,,,,,,,NCBI type_material qualifier,
DQ243696,Acrophialophora major,"type material of Paecilomyces inflatus
                     var. major",Yes,,,,,,,,NCBI type_material qualifier,
OP454342,Acrophialophora minuta,"culture from holotype of Acrophialophora
                     minuta",Yes,,,,,,,,NCBI type_material qualifier,
OP454336,Acrophialophora multiforma,"culture from holotype of Acrophialophora
                     multiforma",Yes,,,,,,,,NCBI type_material qualifier,
MH857916,Acrophialophora nainiana,"culture from holotype of Acrophialophora
                     nainiana",Yes,,,India,,,,,NCBI type_material qualifier,
MK926793,Acrophialophora nainiana,"culture from holotype of Acrophialophora
                     nainiana",Yes,,,,,,,,NCBI type_material qualifier,
KP233036,Acrophialophora nainiana,"culture from holotype of Acrophialophora
                     nainiana",Yes,,,,,,,,NCBI type_material qualifier,
OP454354,Acrophialophora rhombica,"culture from holotype of Acrophialophora
                     rhombica",Yes,,,,,,,,NCBI type_material qualifier,
MK926796,Acrophialophora teleoafricana,"culture from holotype of Acrophialophora
                     teleoafricana",Yes,,,,,,,,NCBI type_material qualifier,
OP454348,Acrophialophora yunnanensis,"culture from holotype of Acrophialophora
                     yunnanensis",Yes,,,,,,,,NCBI type_material qualifier,
OR608742,Acrospermum annamaniae,holotype of Acrospermum annamaniae,Yes,,,"Australia: Queensland, Murray Upper",,,,,NCBI type_material qualifier,
OR198836,Acrospermum bolivianum,holotype of Acrospermum bolivianum,Yes,,A.F. 27646 (KRAM),Bolivia,29-Jul-2015,Adam Flakus,,,NCBI type_material qualifier,
OP377803,Actinocladium aquaticum,"culture from holotype of Actinocladium
                     aquaticum",Yes,CS27-4,,China,,J. Yang,,,NCBI type_material qualifier,
OP856536,Actinomortierella caverna,"culture from holotype of Actinomortierella
                     caverna",Yes,CV00251,,Thailand,,,,,NCBI type_material qualifier,
PQ806948,Actinomortierella paynegaposchkiniae,"holotype of Actinomortierella
                     paynegaposchkiniae",Yes,,,Australia: Queensland,Jun-2018,,,,NCBI type_material qualifier,
JN205823,Actinomucor elegans var. kuwaitensis,"culture from holotype of Actinomucor
                     elegans var. kuwaitensis",Yes,,,,,,,,NCBI type_material qualifier,
MG922571,Aculeata aquatica,"culture from holotype of Aculeata
                     aquatica",Yes,,,Thailand,10-May-2011,Huang Zhang,,,NCBI type_material qualifier,
PQ067864,Aculeatosporella bambusae,"culture from holotype of Aculeatosporella
                     bambusae",Yes,,HKAS 135144,China,14-Jul-2022,Xian-Dong Yu,,,NCBI type_material qualifier,
MN749105,Acuminatispora palmarum,holotype of Acuminatispora palmarum,Yes,SNT53,MFLU 18-1068,Thailand,06-Dec-2016,Sheng-Nan Zhang,,,NCBI type_material qualifier,
OQ888701,Acyanoboletus controversus,holotype of Acyanoboletus controversus,Yes,,HKAS126560,China,,,,,NCBI type_material qualifier,
PQ514134,Acyanoboletus rugosipileus,holotype of Acyanoboletus rugosipileus,Yes,,Wu1259,China,,,,,NCBI type_material qualifier,
KX821777,Adautomilanezia caesalpiniae,"culture from holotype of Adautomilanezia
                     caesalpiniae",Yes,,,Brazil,,L. Costa,,,NCBI type_material qualifier,
KT278721,Adelosphaeria catenata,"culture from holotype of Adelosphaeria
                     catenata",Yes,,,,,,,,NCBI type_material qualifier,
PP852049,Adustochaete albomarginata,holotype of Adustochaete albomarginata,Yes,,CLZhao 22774,China,,Changlin Zhao,,,NCBI type_material qualifier,
MK391518,Adustochaete interrupta,holotype of Adustochaete interrupta,Yes,,LR23435,"Mexico: Vera Cruz, Barranca de Pescado,
                     Road Xalapa ? Huatusco",26-Sep-1985,Leif Ryvarden,,,NCBI type_material qualifier,
PP852052,Adustochaete punctata,holotype of Adustochaete punctata,Yes,,CLZhao 29675,China,,Changlin Zhao,,,NCBI type_material qualifier,
MK391517,Adustochaete rava,holotype of Adustochaete rava,Yes,,KHL15526 (O),"Brazil: Rondonia, Porto Velho, Sao
                     Francisco Farm",15-Mar-2012,Karl-Henrik Larsson,,,NCBI type_material qualifier,
GQ154598,Aequabiliella effusa,"culture from holotype of Phaeomoniella
                     effusa",Yes,,,South Africa,,U. Damm,,,NCBI type_material qualifier,
MH999506,Aequabiliella palatina,"culture from holotype of Aequabiliella
                     palatina",Yes,,,Germany,21-Apr-2016,C. Kraus,,,NCBI type_material qualifier,
MH087060,Afroboletus vietnamensis,holotype of Afroboletus vietnamensis,Yes,,LE311972,Viet Nam,,,,,NCBI type_material qualifier,
KX685711,Afrocastellanoa ivoryana,isotype of Octaviania ivoryana,Yes,,OSC 150014,Zimbabwe,,,,,NCBI type_material qualifier,
PP776067,Agaricus aereiceps,holotype of Agaricus aereiceps,Yes,,AH56338,Italy,19-Oct-2022,A. Cappelli,,,NCBI type_material qualifier,
MZ198899,Agaricus agharkarii,holotype of Agaricus agharkarii,Yes,,AMH:10341,India,09-Jul-2020,P.N. Singh,,,NCBI type_material qualifier,
MK617917,Agaricus albiceps,holotype of Agaricus albiceps,Yes,,,China: Inner Mongolia,,,,,NCBI type_material qualifier,
KP012754,Agaricus albofoetidus,holotype of Agaricus albofoetidus,Yes,,MEL:2382883,"Australia: NT, Fogg Dam, road across dam,
                     1st parking bay area near entrance",24-Jan-2014,"T. Lebel, G.M. Bonito, M.D. Barrett, C.N.
                     Barrett",,,NCBI type_material qualifier,
KT951394,Agaricus albosquamosus,type material of Agaricus albosquamosus,Yes,LD2012192,,Thailand,,,,,NCBI type_material qualifier,
MK617943,Agaricus alboumbonatus,holotype of Agaricus alboumbonatus,Yes,,,China: Heilongjiang,,,,,NCBI type_material qualifier,
KJ577957,Agaricus amicosus,type material of Agaricus amicosus,Yes,,RWK_2205,USA: Colorado,,,,,NCBI type_material qualifier,
KT951348,Agaricus amoenomyces,type material of Agaricus amoenomyces,Yes,ZRL2010072,,China,,,,,NCBI type_material qualifier,
OM971855,Agaricus arabiensis,holotype of Agaricus arabiensis,Yes,,SQUH-SNT007,Oman,01-Sep-2018,,,,NCBI type_material qualifier,
KJ877745,Agaricus argenteus subsp. annetteae,"type material of Agaricus argenteus subsp.
                     annetteae",Yes,,RWK_2016,USA: California,,,,,NCBI type_material qualifier,
MT216231,Agaricus aristocratus,holotype of Agaricus aristocratus,Yes,,O-F-72528,"Norway: Svalbard, Nordenskioeld Land,
                     Hotelneset, Isfjord district, N of the airport",14-Aug-1986,"Gro Gulden, Kolbjorn Mohn Jenssen",,,NCBI type_material qualifier,
KJ609481,Agaricus arizonicus,holotype of Agaricus arizonicus,Yes,,RMC_1255,USA: Arizona,,,,,NCBI type_material qualifier,
KX684860,Agaricus armandomyces,holotype of Agaricus armandomyces,Yes,ZRL2015992,,China,02-Aug-2015,Su Sheng-Yu,,,NCBI type_material qualifier,
KF447908,Agaricus arrillagarum,holotype of Agaricus arrillagarum,Yes,,AH-44508,France,22-Oct-2005,L. A. Parra & P. Arrillaga,,,NCBI type_material qualifier,
KT284912,Agaricus atrodiscus,holotype of Agaricus atrodiscus,Yes,,MFLU12 1010,Thailand,14-Sep-2012,"Jie Chen, Asanka",,,NCBI type_material qualifier,
MH997905,Agaricus atroumbonatus,holotype of Agaricus atroumbonatus,Yes,,MM1637,Pakistan,24-Aug-2016,Junaid Khan,,,NCBI type_material qualifier,
PV247931,Agaricus aurantifibrillosus,holotype of Agaricus aurantifibrillosus,Yes,,FFAAS 3390,China,Oct-2024,,,,NCBI type_material qualifier,
OR690305,Agaricus aurantipileatus,holotype of Agaricus aurantipileatus,Yes,,HMJAU 67747,China,,,,,NCBI type_material qualifier,
ON075801,Agaricus baiyunensis,holotype of Agaricus baiyunensis,Yes,,B21081624,China,,,,,NCBI type_material qualifier,
MH923515,Agaricus bambusetorum,holotype of Agaricus bambusetorum,Yes,,LAH35351,Pakistan,03-Sep-2016,Hira Bashir & A.R. Niazi,,,NCBI type_material qualifier,
MT436352,Agaricus baronii,holotype of Agaricus baronii,Yes,,CFMR:DR2523,Dominican Republic,01-Jan-2003,B. Ortiz-Santana,,,NCBI type_material qualifier,
PP776085,Agaricus basicinctus,holotype of Agaricus basicinctus,Yes,,AH49056,Spain,18-Apr-2018,"J.R. Carlavilla, J.A. Picado & G. Moreno",,,NCBI type_material qualifier,
MT436338,Agaricus basicingulatus,holotype of Agaricus basicingulatus,Yes,LAPAM119,JBSD:130754,Dominican Republic,16-Nov-2018,C. Angelini,,,NCBI type_material qualifier,
KJ877782,Agaricus bellanniae,type material of Agaricus bellanniae,Yes,,RWK_2008,USA: Pennsylvania,,,,,NCBI type_material qualifier,
PP776100,Agaricus bellui,holotype of Agaricus bellui,Yes,,AH56340,Italy,06-Oct-2020,M. Faraoni,,,NCBI type_material qualifier,
KJ609482,Agaricus berryessae,holotype of Agaricus berryessae,Yes,,RWK_2106,USA: California,,,,,NCBI type_material qualifier,
KT951355,Agaricus blatteus,holotype of Agaricus blatteus,Yes,ZRL2012004,,China,,,,,NCBI type_material qualifier,
KX657047,Agaricus bonussquamulosus,holotype of Agaricus bonussquamulosus,Yes,ZRL2010106,,China,26-Jul-2010,Zhao Rui-Lin,,,NCBI type_material qualifier,
KJ577963,Agaricus brunneofibrillosus,"type material of Agaricus
                     brunneofibrillosus",Yes,,RWK_2037,USA: California,,,,,NCBI type_material qualifier,
KM657876,Agaricus brunneogracilis,type material of Agaricus brunneogracilis,Yes,ZRL258,,,,,,,NCBI type_material qualifier,
KT951404,Agaricus brunneopileatus,type material of Agaricus brunneopileatus,Yes,ZRL2012115,,China,,,,,NCBI type_material qualifier,
OR159498,Agaricus brunneopilosus,holotype of Agaricus brunneopilosus,Yes,,HMJAU 67724,China,,,,,NCBI type_material qualifier,
MN872985,Agaricus brunneovariabilis,holotype of Agaricus brunneovariabilis,Yes,ZRL2014277,,China: Yunnan,01-Aug-2014,,,,NCBI type_material qualifier,
KJ609484,Agaricus buckmacadooi,type material of Agaricus buckmacadooi,Yes,,B49,USA: Washington,,,,,NCBI type_material qualifier,
KJ575605,Agaricus caballeroi,holotype of Agaricus caballeroi,Yes,,AH44503,Spain,11-Nov-2011,G. Munoz,,,NCBI type_material qualifier,
ON075803,Agaricus cacainus,holotype of Agaricus cacainus,Yes,,B21081636,China,,,,,NCBI type_material qualifier,
JQ903618,Agaricus campestris,epitype of Agaricus campestris,Yes,,MA-Fungi 80998,"Spain: Madrid, Guadalix de la Sierra",29-Oct-2005,L. A. Parra,,,NCBI type_material qualifier,
KT951335,Agaricus candidolutescens,"type material of Agaricus
                     candidolutescens",Yes,LD2012129,,Thailand,,,,,NCBI type_material qualifier,
MF511146,Agaricus candussoi,holotype of Agaricus candussoi,Yes,,JBSD126492,Dominican Republic,13-Dec-2014,C. Angelini,,,NCBI type_material qualifier,
MZ457903,Agaricus carassaii,holotype of Agaricus carassaii,Yes,,AH56324,"Italy: Marche, Parque Nacional Monti
                     Sibillini-Cupi de Visso (MC)",17-Jun-2020,"M. Faraoni, S. Morettini & G. Spinaci",,,NCBI type_material qualifier,
KX186706,Agaricus catenariocystidiosus,holotype of Agaricus catenariocystidiosus,Yes,HMAS 280112,,,,,,,NCBI type_material qualifier,
KX657023,Agaricus catenatus,holotype of Agaricus catenatus,Yes,ZRL2012104,,China,06-Jul-2012,Zhao Rui-Lin,,,NCBI type_material qualifier,
