Accession Number,Organism,Type Material,Annotated As Type,Isolate,Specimen Voucher,Geo Loc Name,Collection Date,Collected By,Fwd Primer,Rev Primer,Note,MyCoPortal Number
KY653285,Calonectria tucuruiensis,"culture from holotype of Calonectria
                     tucuruiensis",Yes,,,Brazil,,,,,NCBI type_material qualifier,
KY653287,Calonectria turangicola,"culture from holotype of Calonectria
                     turangicola",Yes,,,China,,,,,NCBI type_material qualifier,
GQ280573,Calonectria uniseptata,"culture from holotype of Calonectria
                     uniseptata",Yes,,,,,,,,NCBI type_material qualifier,
MH859012,Calonectria uniseptata,"culture from holotype of Calonectria
                     uniseptata",Yes,,,Germany,,,,,NCBI type_material qualifier,
KY653288,Calonectria uxmalensis,"culture from holotype of Calonectria
                     uxmalensis",Yes,,,Mexico,,,,,NCBI type_material qualifier,
GQ280662,Calonectria variabilis,"culture from holotype of Calonectria
                     variabilis",Yes,,,,,,,,NCBI type_material qualifier,
GQ280665,Calonectria zuluensis,type material of Calonectria zuluensis,Yes,,,,,,,,NCBI type_material qualifier,
GQ280664,Calonectria zuluensis,"culture from holotype of Calonectria
                     zuluensis",Yes,,,,,,,,NCBI type_material qualifier,
MT359859,Calonectria zuluensis,"culture from holotype of Calonectria
                     zuluensis",Yes,,,South Africa,,L. Lombard,,,NCBI type_material qualifier,
HM800866,Caloplaca clauzadeana,"type material of Caloplaca arnoldii subsp.
                     clauzadeana",Yes,Gaya 21562,"P. Navarro-Rosines & Cl. Roux (MARSSJ,
                     herb. Cl. Roux 21562-isotype)",,,,,,NCBI type_material qualifier,
KC416101,Caloplaca emilii,holotype of Caloplaca emilii,Yes,,JV6600,Bulgaria,,,,,NCBI type_material qualifier,
MG954128,Caloplaca fluviatilis,holotype of Caloplaca fluviatilis,Yes,,Vondrak18229,,,,,,NCBI type_material qualifier,
KU257734,Caloplaca lecanorocarpa,holotype of Caloplaca lecanorocarpa,Yes,,ISE 21364,,,,,,NCBI type_material qualifier,
KU257735,Caloplaca lecapustulata,holotype of Caloplaca lecapustulata,Yes,,ISE 21383,,,,,,NCBI type_material qualifier,
KC346301,Caloplaca micromarina,type material of Caloplaca micromarina,Yes,,CBFS JV8199,,,,,,NCBI type_material qualifier,
KC346303,Caloplaca micromontana,type material of Caloplaca micromontana,Yes,,CBFS JV9467,,,,,,NCBI type_material qualifier,
KC416109,Caloplaca substerilis,holotype of Caloplaca substerilis,Yes,,Palice12943,Czech Republic,,,,,NCBI type_material qualifier,
HM582201,Caloplaca syvashica,isotype of Caloplaca syvashica,Yes,JS12_CB,Vondrak & Soun JV7012 (CBFS),Ukraine,,,,,NCBI type_material qualifier,
PP254020,Caloplaca tswaluensis,holotype of Caloplaca tswaluensis,Yes,,Fryday_11785,South Africa,14-Apr-2023,,,,NCBI type_material qualifier,
